32.22216,0.69,417.00
32.90316,0.68,418.00
33.58430,0.69,419.00
34.27039,0.69,420.00
34.97279,0.72,421.00
35.67521,0.69,422.00
36.35396,0.67,423.00
37.04629,0.71,424.00
37.75954,0.71,425.00
38.46446,0.70,426.00
39.15517,0.69,427.00
39.83242,0.67,428.00
40.48482,0.64,429.00
41.08125,0.56,430.00
41.63704,0.55,431.00
42.27265,0.72,432.00
42.99248,0.72,433.00
43.69033,0.67,434.00
44.37917,0.70,435.00
45.12951,0.80,436.00
45.92077,0.79,437.00
46.67285,0.72,438.00
47.40413,0.74,439.00
48.16141,0.77,440.00
48.94609,0.80,441.00
49.77549,0.86,442.00
50.62466,0.84,443.00
51.47383,0.86,444.00
52.32473,0.84,445.00
53.14858,0.81,446.00
53.98735,0.87,447.00
54.86772,0.89,448.00
55.75850,0.89,449.00
56.66523,0.92,450.00
57.60351,0.96,451.00
58.54317,0.92,452.00
59.43950,0.87,453.00
60.32889,0.91,454.00
61.24186,0.92,455.00
62.17043,0.94,456.00
63.11980,0.96,457.00
64.06294,0.93,458.00
64.98908,0.92,459.00
65.91592,0.93,460.00
66.85663,0.95,461.00
67.81328,0.96,462.00
68.77202,0.96,463.00
69.72070,0.94,464.00
70.65656,0.93,465.00
71.59241,0.94,466.00
72.52584,0.93,467.00
73.45788,0.94,468.00
74.39962,0.95,469.00
75.33062,0.92,470.00
76.24740,0.92,471.00
77.18950,0.97,472.00
78.15170,0.96,473.00
79.11044,0.96,474.00
80.07577,0.97,475.00
81.03242,0.94,476.00
81.97799,0.95,477.00
82.93985,0.98,478.00
83.91349,0.97,479.00
84.88645,0.97,480.00
85.87050,0.99,481.00
86.86738,1.00,482.00
87.86183,0.99,483.00
88.84137,0.97,484.00
89.78901,0.93,485.00
90.65621,0.81,486.00
91.48561,0.85,487.00
92.37708,0.93,488.00
93.31259,0.94,489.00
94.27514,0.99,490.00
95.25469,0.97,491.00
96.19990,0.92,492.00
97.13471,0.95,493.00
98.09068,0.96,494.00
99.05670,0.97,495.00
100.03104,0.98,496.00
101.01717,0.99,497.00
101.98908,0.95,498.00
102.94505,0.96,499.00
103.89442,0.94,500.00
104.82299,0.92,501.00
105.73839,0.91,502.00
106.66765,0.95,503.00
107.60559,0.93,504.00
108.54942,0.96,505.00
109.52584,0.99,506.00
110.49498,0.95,507.00
111.42632,0.92,508.00
112.35628,0.94,509.00
113.29699,0.94,510.00
114.24810,0.96,511.00
115.21793,0.98,512.00
116.16800,0.92,513.00
117.08964,0.92,514.00
118.00434,0.91,515.00
118.91453,0.91,516.00
119.77410,0.81,517.00
120.60455,0.85,518.00
121.47764,0.89,519.00
122.38887,0.93,520.00
123.32161,0.94,521.00
124.25989,0.94,522.00
125.19123,0.92,523.00
126.13229,0.96,524.00
127.09692,0.97,525.00
128.04664,0.93,526.00
128.94921,0.88,527.00
129.85143,0.93,528.00
130.80462,0.98,529.00
131.77688,0.97,530.00
132.75052,0.98,531.00
133.71550,0.95,532.00
134.65101,0.92,533.00
135.58721,0.95,534.00
136.54768,0.97,535.00
137.52341,0.98,536.00
138.48492,0.94,537.00
139.43603,0.96,538.00
140.39269,0.95,539.00
141.32681,0.91,540.00
142.24532,0.92,541.00
143.18291,0.95,542.00
144.13090,0.94,543.00
145.08270,0.96,544.00
146.04213,0.96,545.00
147.00295,0.96,546.00
147.96585,0.96,547.00
148.92285,0.95,548.00
149.87604,0.95,549.00
150.83756,0.97,550.00
151.80011,0.96,551.00
152.76093,0.96,552.00
153.71724,0.95,553.00
154.67702,0.97,554.00
155.64962,0.97,555.00
156.61738,0.96,556.00
157.56467,0.93,557.00
158.49428,0.93,558.00
