,0,15,30,45,60,75,89.999,105,120,135,150,165,180
0.001,1.154,1.155,1.152,1.154,1.153,1.15,1.153,1.153,1.147,1.156,1.155,1.152,1.146
15,1.145,1.15,1.149,1.15,1.157,1.149,1.156,1.157,1.161,1.162,1.162,1.163,1.165
30,1.144,1.144,1.148,1.148,1.149,1.15,1.157,1.158,1.163,1.162,1.167,1.167,1.166
45,1.137,1.149,1.138,1.142,1.144,1.149,1.157,1.161,1.166,1.163,1.168,1.161,1.169
60,1.14,1.14,1.14,1.14,1.144,1.145,1.151,1.162,1.167,1.162,1.174,1.169,1.17
75,1.143,1.143,1.139,1.137,1.141,1.145,1.149,1.164,1.164,1.171,1.163,1.176,1.16
90,1.143,1.143,1.139,1.137,1.141,1.145,1.149,1.164,1.164,1.171,1.163,1.176,1.16
